epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,434.233,1.46004,2.0919,1.63177,0.6036,0.53297,0.56578,0.36547,1.37251,1.81627,1.6105,0.000370142,0.000370142,0.000370142
2,873.353,1.48609,2.02711,1.64312,0.67802,0.50309,0.55959,0.33419,1.45336,1.94184,1.65653,0.000725813,0.000725813,0.000725813
3,1278.72,1.43445,1.92271,1.5911,0.57544,0.61508,0.61485,0.39425,1.28737,1.77001,1.5445,0.00106682,0.00106682,0.00106682
4,1686.8,1.3966,1.81379,1.5542,0.69898,0.61281,0.67598,0.44176,1.26955,1.43279,1.52105,0.00104501,0.00104501,0.00104501
5,2091.71,1.36102,1.73669,1.5207,0.70477,0.5865,0.64457,0.41877,1.2637,1.52742,1.50292,0.00102301,0.00102301,0.00102301
6,2497.97,1.33481,1.62788,1.4966,0.64149,0.63618,0.70382,0.46351,1.23086,1.44215,1.45653,0.00100101,0.00100101,0.00100101
7,2901.57,1.26936,1.53359,1.44476,0.75653,0.64372,0.72479,0.49322,1.18038,1.29559,1.42249,0.000979013,0.000979013,0.000979013
8,3305.87,1.26084,1.52913,1.42863,0.76836,0.60154,0.73205,0.4974,1.16891,1.28084,1.39637,0.000957015,0.000957015,0.000957015
9,3711.49,1.23804,1.42107,1.41115,0.74814,0.69821,0.77053,0.5287,1.15316,1.18228,1.37785,0.000935018,0.000935018,0.000935018
10,4116.62,1.21311,1.39732,1.39927,0.79136,0.70673,0.78077,0.52955,1.15836,1.1287,1.38983,0.00091302,0.00091302,0.00091302
11,4523.51,1.1899,1.31288,1.38272,0.81801,0.72463,0.80003,0.55429,1.11826,1.05161,1.3538,0.000891022,0.000891022,0.000891022
12,4929.08,1.16724,1.3097,1.36064,0.71409,0.64517,0.727,0.48916,1.11166,1.16527,1.35515,0.000869024,0.000869024,0.000869024
13,5331.92,1.15301,1.26336,1.35294,0.81945,0.70646,0.80837,0.55951,1.11385,1.01757,1.34124,0.000847026,0.000847026,0.000847026
14,5736.87,1.13747,1.22463,1.33097,0.8296,0.72546,0.8087,0.56131,1.12705,1.00508,1.37108,0.000825029,0.000825029,0.000825029
15,6141.48,1.12029,1.18291,1.31656,0.76697,0.73919,0.80574,0.55256,1.09063,1.05439,1.34888,0.000803031,0.000803031,0.000803031
16,6546.33,1.07817,1.11403,1.29619,0.85235,0.78168,0.84862,0.60193,1.04226,0.90712,1.28363,0.000781033,0.000781033,0.000781033
17,6951.93,1.08552,1.11856,1.29487,0.81422,0.7908,0.83666,0.5908,1.08549,0.93827,1.30381,0.000759035,0.000759035,0.000759035
18,7356.23,1.08145,1.139,1.29016,0.83207,0.76223,0.83687,0.60324,1.06124,0.9146,1.3089,0.000737037,0.000737037,0.000737037
