epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,293.97,1.71024,2.10926,1.21058,0.50887,0.6851,0.56828,0.28014,1.53034,1.9032,1.16634,0.000554871,0.000554871,0.000554871
2,558.789,1.67735,1.62364,1.22038,0.58497,0.66504,0.649,0.33738,1.51023,1.5028,1.17033,0.00109954,0.00109954,0.00109954
3,839.719,1.65537,1.51273,1.21239,0.58396,0.67184,0.65332,0.34994,1.49341,1.35987,1.16017,0.00163321,0.00163321,0.00163321
4,1100.36,1.63943,1.42552,1.19706,0.66469,0.73481,0.73438,0.40479,1.48738,1.21835,1.129,0.00161749,0.00161749,0.00161749
5,1357.25,1.62628,1.38007,1.19826,0.624,0.76054,0.7259,0.38019,1.59748,1.16334,1.18228,0.00160099,0.00160099,0.00160099
6,1620.04,1.61544,1.34789,1.18879,0.66855,0.71329,0.73273,0.3979,1.46941,1.16815,1.12542,0.00158448,0.00158448,0.00158448
7,1894.23,1.59842,1.32143,1.17907,0.66439,0.77377,0.76271,0.42096,1.46207,1.08748,1.13895,0.00156798,0.00156798,0.00156798
8,2162.32,1.58147,1.27932,1.17045,0.65535,0.76907,0.75097,0.43723,1.4209,1.07068,1.10738,0.00155148,0.00155148,0.00155148
9,2427.82,1.59294,1.269,1.17305,0.65235,0.78146,0.74555,0.43608,1.39671,1.09897,1.10322,0.00153497,0.00153497,0.00153497
10,2695.68,1.56432,1.244,1.16174,0.66426,0.76813,0.77021,0.43713,1.43624,1.04312,1.11393,0.00151847,0.00151847,0.00151847
11,2965.06,1.55375,1.20516,1.16191,0.68917,0.77649,0.77329,0.44366,1.43737,1.07255,1.09862,0.00150197,0.00150197,0.00150197
12,3237.31,1.54323,1.18444,1.15416,0.66152,0.75266,0.75917,0.44653,1.40013,1.06737,1.11035,0.00148546,0.00148546,0.00148546
13,3506.93,1.54358,1.18773,1.15233,0.70123,0.80299,0.7968,0.46444,1.40128,0.97692,1.10381,0.00146896,0.00146896,0.00146896
14,3776.25,1.53919,1.16963,1.15206,0.67106,0.7716,0.76626,0.45021,1.38693,1.04321,1.10305,0.00145246,0.00145246,0.00145246
15,4042.78,1.52841,1.14639,1.145,0.72608,0.75793,0.79149,0.4684,1.37646,0.95528,1.09215,0.00143595,0.00143595,0.00143595
16,4308.13,1.52888,1.13865,1.14808,0.71399,0.78015,0.80001,0.46699,1.4013,0.93941,1.09403,0.00141945,0.00141945,0.00141945
17,4566.93,1.52277,1.12507,1.14073,0.73626,0.78348,0.81161,0.4715,1.39317,0.92535,1.08408,0.00140295,0.00140295,0.00140295
18,4823.42,1.52626,1.12459,1.14208,0.72024,0.79816,0.80206,0.47196,1.37695,0.93644,1.09472,0.00138644,0.00138644,0.00138644
19,5078.14,1.5058,1.11551,1.13673,0.72726,0.79065,0.80698,0.47502,1.3858,0.9264,1.08888,0.00136994,0.00136994,0.00136994
20,5333.26,1.51486,1.09779,1.13593,0.68706,0.82472,0.81044,0.48605,1.36521,0.92218,1.07389,0.00135344,0.00135344,0.00135344
21,5598.81,1.50476,1.10095,1.13614,0.71839,0.80446,0.81435,0.48429,1.36338,0.90732,1.08226,0.00133693,0.00133693,0.00133693
22,5857.03,1.50059,1.08313,1.12813,0.71669,0.78939,0.80373,0.47165,1.408,0.92742,1.09445,0.00132043,0.00132043,0.00132043
23,6122.08,1.49088,1.07831,1.12743,0.74291,0.79305,0.82293,0.48963,1.37093,0.89869,1.07884,0.00130393,0.00130393,0.00130393
24,6376.77,1.49143,1.07074,1.13317,0.73629,0.80851,0.83553,0.49185,1.37097,0.88191,1.07216,0.00128742,0.00128742,0.00128742
