epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9365,1.56527,4.78957,3.33051,1.95243,0,0.74615,0.03333,0.04478,0.00893,0.01644,0.06667,0.00614,0.00129,2.82501,6.98284,7.38734,3.3574,0,0.000468394,0.000468394,0.000468394
2,62.2891,1.78858,3.93784,3.27304,2.13272,0,0.3375,0.16667,0.00782,0.0015,0.00054,0.27778,0.00122,0.00034,3.06266,9.72558,11.2246,3.9589,0,0.000913552,0.000913552,0.000913552
3,81.8989,1.91024,4.20699,3.08822,2.18331,0,0.00125,0.17778,0.00224,0.00045,0.00032,0.03333,0.00016,2e-05,3.5726,61.5782,89.6578,4.90121,0,0.00132727,0.00132727,0.00132727
4,100.624,1.97754,4.086,2.94623,2.22024,0,0.02104,0.16667,0.02452,0.00878,0.00844,0.16667,0.007,0.00088,3.19972,6.33512,51.8963,3.97712,0,0.00128753,0.00128753,0.00128753
5,119.737,1.95899,4.12561,2.96071,2.27758,0,0.0016,0.43333,0.01379,0.00402,0.00053,0.14444,0.00282,0.00149,3.01537,21.2314,14.3215,4.55271,0,0.00124037,0.00124037,0.00124037
6,138.958,1.89837,4.05253,2.87043,2.18822,0,0.01405,0.03333,0.01038,0.0034,0.01455,0.03333,0.00795,0.00161,2.6636,5.69534,4.45638,3.05315,0,0.00119322,0.00119322,0.00119322
7,158.775,1.95592,4.02638,2.9825,2.2415,0,0.0079,0.42222,0.00683,0.00158,0.00406,0.03333,0.00436,0.00087,2.96295,5.61788,9.70534,3.46724,0,0.00114606,0.00114606,0.00114606
8,178.601,1.9127,3.93558,2.83449,2.23549,0,0.04977,0.36667,0.05826,0.01813,0.02331,0.11111,0.01298,0.004,2.57243,6.24487,101.21,3.44021,0,0.0010989,0.0010989,0.0010989
9,198.861,1.85144,3.95276,2.78428,2.15059,0,0.01685,0.21111,0.01549,0.00453,0.00375,0.24444,0.00321,0.00053,2.70633,5.54818,4.62967,3.37416,0,0.00105174,0.00105174,0.00105174
10,218.294,1.7398,3.93858,2.61725,2.13956,0,0.42801,0.03333,0.0278,0.00517,0.69196,0.11111,0.02133,0.00411,2.66155,5.27103,5.28533,3.18993,0,0.00100459,0.00100459,0.00100459
11,237.928,1.74427,3.87546,2.6367,2.1048,0,0.0396,0.44444,0.04498,0.01054,0.38884,0.11111,0.05053,0.00805,2.83298,5.33939,5.94009,3.49768,0,0.00095743,0.00095743,0.00095743
12,257.495,1.76783,3.80656,2.65117,2.10516,0,0.06904,0.4,0.09908,0.03443,0.00931,0.33333,0.06262,0.02922,2.70883,6.03343,4.13952,3.49384,0,0.000910273,0.000910273,0.000910273
13,277.902,1.69153,3.83968,2.50622,2.05831,0,0.70827,0.03333,0.02467,0.00872,0.00402,0.16667,0.00632,0.00405,2.80887,5.76437,4.3393,3.61243,0,0.000863116,0.000863116,0.000863116
14,298.708,1.69338,3.743,2.4746,2.07887,0,0.41874,0.2,0.18558,0.09001,0.41109,0.16667,0.16905,0.08586,2.64658,5.36049,4.63344,3.42989,0,0.000815959,0.000815959,0.000815959
15,318.992,1.79223,3.71652,2.63896,2.12027,0,0.0851,0.33333,0.22254,0.04513,0.04406,0.2,0.18038,0.05316,2.72277,4.75405,4.14793,3.30541,0,0.000768802,0.000768802,0.000768802
16,338.492,1.72563,3.78947,2.53023,2.10334,0,0.26994,0.37778,0.18891,0.09352,0.01901,0.44444,0.0296,0.01261,2.70609,5.17736,4.10127,3.29326,0,0.000721645,0.000721645,0.000721645
17,359.018,1.64931,3.78935,2.43099,2.02303,0,0.14402,0.54875,0.20321,0.09704,0.09829,0.47778,0.1455,0.07195,2.51481,4.99078,4.39895,3.00286,0,0.000674488,0.000674488,0.000674488
18,378.878,1.60023,3.56877,2.40188,1.95707,0,0.04488,0.34444,0.06483,0.03041,0.00585,0.16667,0.04867,0.02339,2.3466,4.83515,4.18207,2.79486,0,0.000627331,0.000627331,0.000627331
19,398.851,1.56765,3.56159,2.48527,1.94001,0,0.03408,0.13333,0.07525,0.02712,0.03084,0.37778,0.05552,0.02063,2.13772,4.88796,3.71922,2.73265,0,0.000580174,0.000580174,0.000580174
20,419.005,1.62485,3.62937,2.43131,1.99945,0,0.1109,0.41111,0.10238,0.03893,0.0575,0.34444,0.08521,0.03017,2.21061,4.54516,3.38707,2.71138,0,0.000533017,0.000533017,0.000533017
21,453.269,1.94674,3.83357,2.8098,2.54625,0,0.07963,0.34444,0.09501,0.04123,0.08984,0.31814,0.21411,0.05273,2.38505,4.54745,3.52657,2.88203,0,0.00048586,0.00048586,0.00048586
22,474.086,1.54033,3.82871,2.39546,2.22174,0,0.05649,0.44444,0.15066,0.05917,0.02234,0.17582,0.13573,0.04968,2.45994,4.58335,3.67641,3.01097,0,0.000438703,0.000438703,0.000438703
23,494.996,1.62451,3.73762,2.39349,2.29809,0,0.12375,0.40003,0.09836,0.0298,0.07984,0.29969,0.12861,0.02549,2.39231,4.52845,3.51951,2.9479,0,0.000391546,0.000391546,0.000391546
24,516.847,1.58073,3.80079,2.20686,2.26834,0,0.10239,0.33333,0.12487,0.0471,0.06361,0.37778,0.07385,0.02313,2.38125,4.35682,3.33163,2.73995,0,0.000344389,0.000344389,0.000344389
25,538.154,1.63468,3.63627,2.1466,2.27022,0,0.21052,0.3,0.16634,0.06862,0.14531,0.23333,0.12594,0.0434,2.24428,4.27337,3.16367,2.60539,0,0.000297232,0.000297232,0.000297232
26,558.466,1.56182,3.58915,2.06221,2.19366,0,0.19569,0.26667,0.22949,0.15975,0.17991,0.23333,0.2295,0.11083,2.13933,4.3284,3.57697,2.77429,0,0.000250075,0.000250075,0.000250075
27,579.651,1.50756,3.61989,2.17829,2.14511,0,0.25243,0.26667,0.23291,0.13972,0.25243,0.26667,0.20594,0.10705,2.14015,4.28947,3.8461,2.64704,0,0.000202918,0.000202918,0.000202918
28,599.846,1.52818,3.62647,2.14998,2.23392,0,0.20705,0.37778,0.23652,0.10228,0.12494,0.20761,0.20621,0.09324,2.16439,4.33262,3.55509,2.64646,0,0.000155761,0.000155761,0.000155761
29,620.251,1.55654,3.559,2.09336,2.24662,0,0.19989,0.34444,0.26406,0.15069,0.13867,0.2,0.19954,0.09412,2.16045,4.39008,3.67964,2.63647,0,0.000108604,0.000108604,0.000108604
30,641.118,1.47734,3.54001,1.98933,2.13865,0,0.21538,0.34444,0.26267,0.16734,0.14725,0.2,0.21045,0.09827,2.15386,4.32403,3.52657,2.61167,0,6.1447e-05,6.1447e-05,6.1447e-05
