epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1871,2.69984,4.32209,4.20058,2.5405,0,0.11711,0.02,0.02505,0.00899,0.11711,0.02,0.02254,0.01043,2.90747,4.76516,4.78617,2.86011,0,0.000551781,0.000551781,0.000551781
2,90.7777,2.31866,3.7817,3.63382,2.23079,0,0.00178,0.29889,0.0006,0.00018,0.00202,0.32667,0.00085,0.0002,2.64402,4.06849,188.059,2.64623,0,0.00108552,0.00108552,0.00108552
3,130.864,2.30756,3.51123,3.41793,2.26019,0,0.06679,0.1,0.03255,0.00871,0.04555,0.08,0.02694,0.00737,2.70067,3.41813,3.65146,2.64629,0,0.00159725,0.00159725,0.00159725
4,169.986,2.04011,3.2432,3.19813,2.04817,0,0.06818,0.12778,0.04466,0.01164,0.08,0.12778,0.04458,0.01319,2.31924,3.93123,4.88815,2.51584,0,0.00156798,0.00156798,0.00156798
5,209.755,2.07445,3.17462,2.9983,2.07487,0,0.07116,0.12,0.04396,0.01185,0.07116,0.12,0.04815,0.01268,2.24537,2.83584,4.71867,2.49364,0,0.00153497,0.00153497,0.00153497
6,249.332,1.99674,2.91605,2.82667,2.02421,0,0.21332,0.12591,0.08133,0.02582,0.22204,0.13045,0.08415,0.03278,2.11103,3.07155,3.78248,2.33757,0,0.00150197,0.00150197,0.00150197
7,289.876,1.95441,3.03277,2.87284,2.00918,0,0.05613,0.14,0.06429,0.02533,0.06847,0.14,0.07024,0.03006,2.17965,3.47783,4.59486,2.4745,0,0.00146896,0.00146896,0.00146896
8,330.092,1.92576,3.02032,2.6958,2.00215,0,0.14753,0.33111,0.15448,0.05463,0.16484,0.26333,0.10174,0.03971,2.03262,3.20382,2.75526,2.26048,0,0.00143595,0.00143595,0.00143595
9,372.107,1.8167,2.90977,2.58939,1.90344,0,0.2185,0.25111,0.15974,0.07258,0.25414,0.27111,0.15929,0.06412,1.7835,2.81346,3.84512,2.1663,0,0.00140295,0.00140295,0.00140295
10,413.271,1.70104,2.68125,2.44233,1.77531,0,0.22956,0.31744,0.13849,0.06049,0.16675,0.27111,0.10919,0.04137,1.96025,3.17113,3.0576,2.17805,0,0.00136994,0.00136994,0.00136994
11,453.755,1.69799,2.60062,2.49855,1.82441,0,0.25948,0.35636,0.20252,0.06879,0.20034,0.33111,0.18348,0.07736,2.09224,2.58069,3.03759,2.31234,0,0.00133693,0.00133693,0.00133693
12,494.869,1.64406,2.61748,2.35307,1.72489,0,0.50701,0.28976,0.24583,0.10806,0.50701,0.28976,0.26105,0.13589,1.96291,2.44404,3.46593,2.15243,0,0.00130393,0.00130393,0.00130393
13,536.725,1.62804,2.57829,2.27542,1.74913,0,0.30455,0.41966,0.33294,0.13845,0.35623,0.36333,0.29315,0.13664,1.7706,2.34743,2.78157,2.0412,0,0.00127092,0.00127092,0.00127092
14,577.052,1.52003,2.42263,2.22908,1.66615,0,0.4328,0.33556,0.24621,0.10989,0.41493,0.33556,0.23623,0.10707,1.86742,2.4034,3.24445,2.1429,0,0.00123791,0.00123791,0.00123791
15,616.846,1.59642,2.35883,2.25823,1.68043,0,0.438,0.30667,0.3403,0.14092,0.33675,0.41444,0.34175,0.17175,1.73109,2.47026,2.48472,2.0165,0,0.00120491,0.00120491,0.00120491
16,655.87,1.54401,2.37569,2.11521,1.65425,0,0.34367,0.35889,0.3192,0.15887,0.33196,0.35889,0.32974,0.16898,1.63023,2.33475,2.63158,1.9356,0,0.0011719,0.0011719,0.0011719
17,694.754,1.5233,2.27951,2.09018,1.62446,0,0.30727,0.35889,0.25042,0.13177,0.38139,0.31111,0.28954,0.14126,1.72188,2.25527,2.6455,1.94302,0,0.00113889,0.00113889,0.00113889
18,733.603,1.45102,2.23955,2.01461,1.61127,0,0.36442,0.40667,0.35319,0.15775,0.32669,0.37889,0.33654,0.16056,1.72369,2.26046,2.50736,1.96898,0,0.00110589,0.00110589,0.00110589
19,772.137,1.40028,2.23648,1.92125,1.59583,0,0.3357,0.35336,0.29802,0.13832,0.30714,0.35889,0.30051,0.13251,1.72613,2.19708,2.59247,1.97672,0,0.00107288,0.00107288,0.00107288
20,811.097,1.38942,2.06068,1.97765,1.59099,0,0.32941,0.45444,0.35852,0.18441,0.3818,0.45444,0.37798,0.1971,1.57277,1.96475,2.61386,1.87679,0,0.00103987,0.00103987,0.00103987
21,849.98,1.402,2.12925,1.92059,1.54084,0,0.44561,0.4249,0.40335,0.20592,0.47184,0.43204,0.43083,0.21196,1.63214,2.17562,2.31139,1.89254,0,0.00100687,0.00100687,0.00100687
22,890.182,1.33049,1.91867,1.70477,1.52459,0,0.46841,0.43444,0.38091,0.20305,0.47986,0.45444,0.37764,0.20179,1.56188,2.07366,2.35529,1.78338,0,0.000973861,0.000973861,0.000973861
23,929.56,1.40757,1.96679,1.73393,1.57843,0,0.33985,0.36228,0.35321,0.12977,0.32707,0.34228,0.31464,0.1405,1.65468,1.94345,3.46002,1.87056,0,0.000940855,0.000940855,0.000940855
24,968.577,1.3952,2.05696,1.77962,1.58906,0,0.38468,0.40667,0.35018,0.16603,0.45515,0.43413,0.37933,0.1813,1.58774,1.92038,2.21471,1.87643,0,0.000907848,0.000907848,0.000907848
